thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,Fixation.started,Target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
151,0,151,[np.float64(0.08055555555555556)],[np.float64(0.3541666666666667)],[1],[0],[0],[2.120081199995184],['Target'],151,0,151,0,287.6701909,,5,287.6528369,287.6701909,287.6701909,0.0128015,289.7730897,[np.float64(0.08055555555555556)],[np.float64(0.3541666666666667)],[1],[0],[0],[2.120081199995184],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
152,0,152,[np.float64(-0.11527777777777778)],[np.float64(-0.4375)],[1],[0],[0],[1.5918741999994381],['Target'],152,0,152,0,289.8036433,,5,289.7872343,289.8036433,289.8036433,0.0140482,291.3793487,[np.float64(-0.11527777777777778)],[np.float64(-0.4375)],[1],[0],[0],[1.5918741999994381],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
153,0,153,[np.float64(-0.2513888888888889)],[np.float64(0.03333333333333333)],[1],[0],[0],[1.122375099999772],['Target'],153,0,153,0,291.4377645,,10,291.4155789,291.4377645,291.4377645,0.0360905,292.5381231,[np.float64(-0.2513888888888889)],[np.float64(0.03333333333333333)],[1],[0],[0],[1.122375099999772],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
154,0,154,[np.float64(0.20972222222222223)],[np.float64(0.41388888888888886)],[1],[0],[0],[1.6220059000042966],['Target'],154,0,154,0,292.5700639,,5,292.5508157,292.5700639,292.5700639,0.0125734,294.1730104,[np.float64(0.20972222222222223)],[np.float64(0.41388888888888886)],[1],[0],[0],[1.6220059000042966],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
155,0,155,[np.float64(-0.25972222222222224)],[np.float64(-0.1986111111111111)],[1],[0],[0],[1.8079510000025039],['Target'],155,0,155,0,294.2202501,,10,294.1974792,294.2202501,294.2202501,0.0243866,296.0056211,[np.float64(-0.25972222222222224)],[np.float64(-0.1986111111111111)],[1],[0],[0],[1.8079510000025039],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
156,0,156,[np.float64(0.0375)],[np.float64(0.26805555555555555)],[1],[0],[0],[1.3060394000058295],['Target'],156,0,156,0,296.0536532,,10,296.0329746,296.0536532,296.0536532,0.0272142,297.3391954,[np.float64(0.0375)],[np.float64(0.26805555555555555)],[1],[0],[0],[1.3060394000058295],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
157,0,157,[np.float64(-0.19583333333333333)],[np.float64(0.275)],[1],[0],[0],[2.3851104999994277],['Target'],157,0,157,0,297.369379,,5,297.3536844,297.369379,297.369379,0.0143744,299.7389668,[np.float64(-0.19583333333333333)],[np.float64(0.275)],[1],[0],[0],[2.3851104999994277],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
158,0,158,"[np.float64(-0.20555555555555555), np.float64(-0.2125)]","[np.float64(-0.23472222222222222), np.float64(-0.2833333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.7552779000034207, 2.637595699998201]","[None, 'Target']",158,0,158,0,299.768842,,5,299.7501042,299.768842,299.768842,0.0110576,302.3878981,"[np.float64(-0.20555555555555555), np.float64(-0.2125)]","[np.float64(-0.23472222222222222), np.float64(-0.2833333333333333)]","[1, 1]","[0, 0]","[0, 0]","[1.7552779000034207, 2.637595699998201]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
159,0,159,[np.float64(-0.006944444444444444)],[np.float64(0.41805555555555557)],[1],[0],[0],[1.6097809999992023],['Target'],159,0,159,0,302.4357813,,10,302.4120253,302.4357813,302.4357813,0.023983,304.0220314,[np.float64(-0.006944444444444444)],[np.float64(0.41805555555555557)],[1],[0],[0],[1.6097809999992023],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
160,0,160,"[np.float64(-0.1763888888888889), np.float64(-0.18888888888888888)]","[np.float64(-0.3625), np.float64(-0.35833333333333334)]","[1, 1]","[0, 0]","[0, 0]","[3.255293199996231, 4.885962000000291]","[None, 'Target']",160,0,160,0,304.0516345,,5,304.0345541,304.0516345,304.0516345,0.0123538,308.9206636,"[np.float64(-0.1763888888888889), np.float64(-0.18888888888888888)]","[np.float64(-0.3625), np.float64(-0.35833333333333334)]","[1, 1]","[0, 0]","[0, 0]","[3.255293199996231, 4.885962000000291]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
161,0,161,[np.float64(-0.18333333333333332)],[np.float64(-0.4027777777777778)],[1],[0],[0],[1.3371547999995528],['Target'],161,0,161,0,308.9516107,,5,308.9330022,308.9516107,308.9516107,0.0122268,310.270351,[np.float64(-0.18333333333333332)],[np.float64(-0.4027777777777778)],[1],[0],[0],[1.3371547999995528],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
162,0,162,[np.float64(0.011111111111111112)],[np.float64(-0.12777777777777777)],[1],[0],[0],[1.9917430999994394],['Target'],162,0,162,0,310.319131,,10,310.2955969,310.319131,310.319131,0.0251444,312.2875121,[np.float64(0.011111111111111112)],[np.float64(-0.12777777777777777)],[1],[0],[0],[1.9917430999994394],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
163,0,163,[np.float64(-0.011111111111111112)],[np.float64(-0.14583333333333334)],[1],[0],[0],[1.92105299999821],['Target'],163,0,163,0,312.3176751,,5,312.3010941,312.3176751,312.3176751,0.0134179,314.2223856,[np.float64(-0.011111111111111112)],[np.float64(-0.14583333333333334)],[1],[0],[0],[1.92105299999821],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
164,0,164,[np.float64(-0.4444444444444444)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.9691367999985232],['Target'],164,0,164,0,314.2508483,,5,314.2342438,314.2508483,314.2508483,0.0116988,316.2036099,[np.float64(-0.4444444444444444)],[np.float64(0.019444444444444445)],[1],[0],[0],[1.9691367999985232],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
165,0,165,"[np.float64(-0.24722222222222223), np.float64(-0.24861111111111112)]","[np.float64(0.2722222222222222), np.float64(0.2388888888888889)]","[1, 1]","[0, 0]","[0, 0]","[2.435934900000575, 3.4350921000004746]","[None, 'Target']",165,0,165,0,316.2351336,,5,316.2180705,316.2351336,316.2351336,0.0142961,319.653377,"[np.float64(-0.24722222222222223), np.float64(-0.24861111111111112)]","[np.float64(0.2722222222222222), np.float64(0.2388888888888889)]","[1, 1]","[0, 0]","[0, 0]","[2.435934900000575, 3.4350921000004746]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
166,0,166,[np.float64(-0.013888888888888888)],[np.float64(-0.018055555555555554)],[1],[0],[0],[1.8194822000004933],['Target'],166,0,166,0,319.6840743,,5,319.6683767,319.6840743,319.6840743,0.0148686,321.4880564,[np.float64(-0.013888888888888888)],[np.float64(-0.018055555555555554)],[1],[0],[0],[1.8194822000004933],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
167,0,167,[np.float64(-0.4861111111111111)],[np.float64(-0.2125)],[1],[0],[0],[1.7318503000060446],['Target'],167,0,167,0,321.517705,,5,321.5044677,321.517705,321.517705,0.016302,323.2365104,[np.float64(-0.4861111111111111)],[np.float64(-0.2125)],[1],[0],[0],[1.7318503000060446],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
168,0,168,[np.float64(0.3013888888888889)],[np.float64(-0.08611111111111111)],[1],[0],[0],[1.469776300000376],['Target'],168,0,168,0,323.2847126,,10,323.2656158,323.2847126,323.2847126,0.0290229,324.7355978,[np.float64(0.3013888888888889)],[np.float64(-0.08611111111111111)],[1],[0],[0],[1.469776300000376],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
169,0,169,[np.float64(-0.027777777777777776)],[np.float64(0.28888888888888886)],[1],[0],[0],[1.3586284999983036],['Target'],169,0,169,0,324.7844978,,10,324.7631296,324.7844978,324.7844978,0.0273971,326.1220199,[np.float64(-0.027777777777777776)],[np.float64(0.28888888888888886)],[1],[0],[0],[1.3586284999983036],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
170,0,170,[np.float64(0.25833333333333336)],[np.float64(-0.4597222222222222)],[1],[0],[0],[1.510230900006718],['Target'],170,0,170,0,326.1682449,,5,326.1418224,326.1682449,326.1682449,0.0195852,327.6522876,[np.float64(0.25833333333333336)],[np.float64(-0.4597222222222222)],[1],[0],[0],[1.510230900006718],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
171,0,171,"[np.float64(0.4708333333333333), np.float64(0.49027777777777776), np.float64(0.4861111111111111)]","[np.float64(-0.35694444444444445), np.float64(-0.3375), np.float64(-0.35694444444444445)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.9787693999969633, 3.5626151999967988, 5.3964873000004445]","[None, None, 'Target']",171,0,171,0,327.6830974,,10,327.6726112,327.6830974,327.6830974,0.020149,333.0692563,"[np.float64(0.4708333333333333), np.float64(0.49027777777777776), np.float64(0.4861111111111111)]","[np.float64(-0.35694444444444445), np.float64(-0.3375), np.float64(-0.35694444444444445)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.9787693999969633, 3.5626151999967988, 5.3964873000004445]","[None, None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
172,0,172,[np.float64(0.3013888888888889)],[np.float64(-0.2375)],[1],[0],[0],[1.9122676000042702],['Target'],172,0,172,0,333.1174601,,10,333.090121,333.1174601,333.1174601,0.0207182,335.0025738,[np.float64(0.3013888888888889)],[np.float64(-0.2375)],[1],[0],[0],[1.9122676000042702],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
173,0,173,"[np.float64(0.2875), np.float64(0.2916666666666667)]","[np.float64(0.3972222222222222), np.float64(0.375)]","[1, 1]","[0, 0]","[0, 0]","[2.167183199999272, 4.568529899996065]","[None, 'Target']",173,0,173,0,335.0527965,,5,335.0340434,335.0527965,335.0527965,0.0312703,339.6028959,"[np.float64(0.2875), np.float64(0.2916666666666667)]","[np.float64(0.3972222222222222), np.float64(0.375)]","[1, 1]","[0, 0]","[0, 0]","[2.167183199999272, 4.568529899996065]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
174,0,174,[np.float64(0.10277777777777777)],[np.float64(-0.001388888888888889)],[1],[0],[0],[1.9134457999971346],['Target'],174,0,174,0,339.6497926,,5,339.6215111,339.6497926,339.6497926,0.0184842,341.535182,[np.float64(0.10277777777777777)],[np.float64(-0.001388888888888889)],[1],[0],[0],[1.9134457999971346],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
175,0,175,[np.float64(0.002777777777777778)],[np.float64(0.4263888888888889)],[1],[0],[0],[2.3766572999957134],['Target'],175,0,175,0,341.5842787,,10,341.5580321,341.5842787,341.5842787,0.0227526,343.9348627,[np.float64(0.002777777777777778)],[np.float64(0.4263888888888889)],[1],[0],[0],[2.3766572999957134],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
176,0,176,[np.float64(0.004166666666666667)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.3331179000015254],['Target'],176,0,176,0,343.9827601,,10,343.9681342,343.9827601,343.9827601,0.0331431,345.3015092,[np.float64(0.004166666666666667)],[np.float64(0.48055555555555557)],[1],[0],[0],[1.3331179000015254],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
177,0,177,[np.float64(-0.22083333333333333)],[np.float64(-0.36527777777777776)],[1],[0],[0],[2.082003399998939],['Target'],177,0,177,0,345.3491836,,10,345.3352636,345.3491836,345.3491836,0.0336293,347.4175428,[np.float64(-0.22083333333333333)],[np.float64(-0.36527777777777776)],[1],[0],[0],[2.082003399998939],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
178,0,178,[np.float64(-0.05)],[np.float64(-0.28888888888888886)],[1],[0],[0],[1.475563100000727],['Target'],178,0,178,0,347.4659297,,10,347.4414033,347.4659297,347.4659297,0.0236503,348.9171363,[np.float64(-0.05)],[np.float64(-0.28888888888888886)],[1],[0],[0],[1.475563100000727],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
179,0,179,[np.float64(0.17777777777777778)],[np.float64(-0.4236111111111111)],[1],[0],[0],[2.1068002000029082],['Target'],179,0,179,0,348.9651633,,10,348.9432854,348.9651633,348.9651633,0.0260181,351.0502695,[np.float64(0.17777777777777778)],[np.float64(-0.4236111111111111)],[1],[0],[0],[2.1068002000029082],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
180,0,180,[np.float64(-0.09861111111111111)],[np.float64(-0.49583333333333335)],[1],[0],[0],[1.6377681000012672],['Target'],180,0,180,0,351.080733,,5,351.0627991,351.080733,351.080733,0.0123798,352.7007408,[np.float64(-0.09861111111111111)],[np.float64(-0.49583333333333335)],[1],[0],[0],[1.6377681000012672],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
181,0,181,[np.float64(0.47638888888888886)],[np.float64(-0.005555555555555556)],[1],[0],[0],[1.6914342999953078],['Target'],181,0,181,0,352.7483504,,10,352.7250022,352.7483504,352.7483504,0.0241619,354.4166166,[np.float64(0.47638888888888886)],[np.float64(-0.005555555555555556)],[1],[0],[0],[1.6914342999953078],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
182,0,182,[np.float64(0.42083333333333334)],[np.float64(0.22083333333333333)],[1],[0],[0],[1.9184705000006943],['Target'],182,0,182,0,354.447799,,5,354.4313293,354.447799,354.447799,0.014594,356.3499881,[np.float64(0.42083333333333334)],[np.float64(0.22083333333333333)],[1],[0],[0],[1.9184705000006943],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
183,0,183,[np.float64(0.13055555555555556)],[np.float64(-0.2652777777777778)],[1],[0],[0],[1.853232699999353],['Target'],183,0,183,0,356.3801276,,5,356.3629877,356.3801276,356.3801276,0.0128916,358.2163843,[np.float64(0.13055555555555556)],[np.float64(-0.2652777777777778)],[1],[0],[0],[1.853232699999353],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
184,0,184,[np.float64(-0.08472222222222223)],[np.float64(0.025)],[1],[0],[0],[1.5360410000066622],['Target'],184,0,184,0,358.2465846,,5,358.2290547,358.2465846,358.2465846,0.0125698,359.7652416,[np.float64(-0.08472222222222223)],[np.float64(0.025)],[1],[0],[0],[1.5360410000066622],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
185,0,185,"[np.float64(-0.008333333333333333), np.float64(-0.015277777777777777)]","[np.float64(0.2222222222222222), np.float64(0.22777777777777777)]","[1, 1]","[0, 0]","[0, 0]","[1.4791485000023386, 2.44445970000379]","[None, 'Target']",185,0,185,0,359.8144159,,10,359.7875262,359.8144159,359.8144159,0.0222142,362.232244,"[np.float64(-0.008333333333333333), np.float64(-0.015277777777777777)]","[np.float64(0.2222222222222222), np.float64(0.22777777777777777)]","[1, 1]","[0, 0]","[0, 0]","[1.4791485000023386, 2.44445970000379]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
186,0,186,[np.float64(-0.35)],[np.float64(-0.4152777777777778)],[1],[0],[0],[2.3605108999981894],['Target'],186,0,186,0,362.282102,,5,362.2549345,362.282102,362.282102,0.0224163,364.6157196,[np.float64(-0.35)],[np.float64(-0.4152777777777778)],[1],[0],[0],[2.3605108999981894],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
187,0,187,[np.float64(0.13333333333333333)],[np.float64(0.2722222222222222)],[1],[0],[0],[5.038504299998749],['Target'],187,0,187,0,364.6457574,,5,364.6256086,364.6457574,364.6457574,0.0097147,369.6642821,[np.float64(0.13333333333333333)],[np.float64(0.2722222222222222)],[1],[0],[0],[5.038504299998749],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
188,0,188,[np.float64(-0.44166666666666665)],[np.float64(0.1638888888888889)],[1],[0],[0],[1.5261931999993976],['Target'],188,0,188,0,369.6952803,,5,369.6729788,369.6952803,369.6952803,0.0085181,371.1993353,[np.float64(-0.44166666666666665)],[np.float64(0.1638888888888889)],[1],[0],[0],[1.5261931999993976],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
189,0,189,"[np.float64(-0.44166666666666665), np.float64(-0.2652777777777778)]","[np.float64(0.1638888888888889), np.float64(0.10694444444444444)]","[1, 1]","[0, 0]","[0, 0]","[0.25934119999874383, 1.7424294000011287]","[None, 'Target']",189,0,189,0,371.2470725,,10,371.2215117,371.2470725,371.2470725,0.0220496,372.9641265,"[np.float64(-0.44166666666666665), np.float64(-0.2652777777777778)]","[np.float64(0.1638888888888889), np.float64(0.10694444444444444)]","[1, 1]","[0, 0]","[0, 0]","[0.25934119999874383, 1.7424294000011287]","[None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
190,0,190,"[np.float64(0.04583333333333333), np.float64(0.04583333333333333), np.float64(0.03611111111111111)]","[np.float64(-0.08611111111111111), np.float64(-0.08611111111111111), np.float64(-0.09027777777777778)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.4471248999980162, 1.7290620999992825, 2.5455822000003536]","[None, None, 'Target']",190,0,190,0,373.0140157,,10,372.9842211,373.0140157,373.0140157,0.0198667,375.5299836,"[np.float64(0.04583333333333333), np.float64(0.04583333333333333), np.float64(0.03611111111111111)]","[np.float64(-0.08611111111111111), np.float64(-0.08611111111111111), np.float64(-0.09027777777777778)]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.4471248999980162, 1.7290620999992825, 2.5455822000003536]","[None, None, 'Target']",THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
191,0,191,[np.float64(0.44027777777777777)],[np.float64(0.14583333333333334)],[1],[0],[0],[6.674144899996463],['Target'],191,0,191,0,375.5619311,,5,375.5394979,375.5619311,375.5619311,0.0093833,382.2137934,[np.float64(0.44027777777777777)],[np.float64(0.14583333333333334)],[1],[0],[0],[6.674144899996463],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
192,0,192,[np.float64(-0.20972222222222223)],[np.float64(-0.034722222222222224)],[1],[0],[0],[2.062849699999788],['Target'],192,0,192,0,382.2441042,,10,382.2336396,382.2441042,382.2441042,0.0197466,384.2966411,[np.float64(-0.20972222222222223)],[np.float64(-0.034722222222222224)],[1],[0],[0],[2.062849699999788],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
193,0,193,[np.float64(0.06944444444444445)],[np.float64(-0.2875)],[1],[0],[0],[1.2413758999973652],['Target'],193,0,193,0,384.3275351,,5,384.3059813,384.3275351,384.3275351,0.0092383,385.547521,[np.float64(0.06944444444444445)],[np.float64(-0.2875)],[1],[0],[0],[1.2413758999973652],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
194,0,194,[np.float64(0.3763888888888889)],[np.float64(-0.0763888888888889)],[1],[0],[0],[1.4546308999997564],['Target'],194,0,194,0,385.5792947,,5,385.5589976,385.5792947,385.5792947,0.0113766,387.0137971,[np.float64(0.3763888888888889)],[np.float64(-0.0763888888888889)],[1],[0],[0],[1.4546308999997564],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
195,0,195,[np.float64(-0.4027777777777778)],[np.float64(0.42083333333333334)],[1],[0],[0],[1.9880520000006072],['Target'],195,0,195,0,387.0438093,,5,387.0241311,387.0438093,387.0438093,0.0102218,389.0123994,[np.float64(-0.4027777777777778)],[np.float64(0.42083333333333334)],[1],[0],[0],[1.9880520000006072],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
196,0,196,[np.float64(0.29444444444444445)],[np.float64(-0.11527777777777778)],[1],[0],[0],[1.6570485999982338],['Target'],196,0,196,0,389.0435761,,5,389.0219624,389.0435761,389.0435761,0.0093775,390.6791386,[np.float64(0.29444444444444445)],[np.float64(-0.11527777777777778)],[1],[0],[0],[1.6570485999982338],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
197,0,197,[np.float64(0.4375)],[np.float64(-0.3236111111111111)],[1],[0],[0],[1.5913119000033475],['Target'],197,0,197,0,390.7098835,,5,390.6874076,390.7098835,390.7098835,0.0081894,392.278848,[np.float64(0.4375)],[np.float64(-0.3236111111111111)],[1],[0],[0],[1.5913119000033475],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
198,0,198,[np.float64(-0.44583333333333336)],[np.float64(-0.28055555555555556)],[1],[0],[0],[1.4081628999992972],['Target'],198,0,198,0,392.3100588,,5,392.287321,392.3100588,392.3100588,0.0083921,393.6956235,[np.float64(-0.44583333333333336)],[np.float64(-0.28055555555555556)],[1],[0],[0],[1.4081628999992972],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
199,0,199,[np.float64(0.26666666666666666)],[np.float64(-0.15694444444444444)],[1],[0],[0],[1.163457800001197],['Target'],199,0,199,0,393.726396,,10,393.7152104,393.726396,393.726396,0.0195057,394.8787997,[np.float64(0.26666666666666666)],[np.float64(-0.15694444444444444)],[1],[0],[0],[1.163457800001197],['Target'],THREE,1,2025-10-03_08h41.12.152,Visual Search Experiment,,2025.1.1,60.25657249,2025-10-03 08h41.20.661807 +0530
